request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_36,1446.6,not_affordable,not_recommended,none,,none,Current balance is 3846.60 USD; minimum balance to keep is 2400.00 USD. Maximum safe amount today is 1446.60 USD.
request_37,12068800.0,not_affordable,not_recommended,none,,none,Current balance is 29125000.00 IDR; minimum balance to keep is 17056200.00 IDR. Maximum safe amount today is 12068800.00 IDR.
request_38,379.4,affordable_later,wait,2025-10-13:971.30,2025-10-13,none,Current balance: 779.40 EUR. Required minimum: 400.00 EUR. Safe amount today: 379.40 EUR. Recommended method: wait. Full payment is first forecast safe on 2025-10-13.
request_39,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_40,0.0,not_affordable,not_recommended,none,,none,Current balance is 2394.00 EUR; minimum balance to keep is 1500.00 EUR. Maximum safe amount today is 0.00 EUR.
request_41,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_42,0.0,not_affordable,not_recommended,none,,none,Current balance is 261765.00 INR; minimum balance to keep is 113100.00 INR. Maximum safe amount today is 0.00 INR.
request_43,15242750.0,affordable_later,wait,2024-11-13:43339000.00,2024-11-13,none,Current balance: 36640750.00 IDR. Required minimum: 21398000.00 IDR. Safe amount today: 15242750.00 IDR. Recommended method: wait. Full payment is first forecast safe on 2024-11-13.
request_44,0.0,not_affordable,not_recommended,none,,none,Current balance is 162290.00 INR; minimum balance to keep is 82900.00 INR. Maximum safe amount today is 0.00 INR.
request_45,8833100.0,not_affordable,not_recommended,none,,none,Current balance is 19982900.00 IDR; minimum balance to keep is 11149800.00 IDR. Maximum safe amount today is 8833100.00 IDR.
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714.00|2024-12-31:25714.00,2024-12-15,none,Current balance: 202335.00 INR. Required minimum: 84000.00 INR. Safe amount today: 49450.00 INR. Recommended method: installments. Full payment is first forecast safe on 2024-12-15.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.00,2025-05-05,none,Current balance: 112924150.00 IDR. Required minimum: 30049000.00 IDR. Safe amount today: 38114000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2025-05-05.
request_48,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_49,20228793.34,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-18,none,Current balance: 40504493.34 IDR. Required minimum: 20275700.00 IDR. Safe amount today: 20228793.34 IDR. Recommended method: installments. Full payment is first forecast safe on 2024-05-18.
request_50,0.0,not_affordable,not_recommended,none,,none,Current balance is 247325.50 INR; minimum balance to keep is 99700.00 INR. Maximum safe amount today is 0.00 INR.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,Current balance: 35347700.00 IDR. Required minimum: 7811000.00 IDR. Safe amount today: 2191000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2026-01-03.
request_52,28870.0,affordable_later,wait,2024-06-14:28870.00,2024-06-14,none,Current balance: 75320.00 INR. Required minimum: 41500.00 INR. Safe amount today: 28870.00 INR. Recommended method: wait. Full payment is first forecast safe on 2024-06-14.
request_53,1423.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-13,none,Current balance: 3523.42 USD. Required minimum: 2100.00 USD. Safe amount today: 1423.42 USD. Recommended method: installments. Full payment is first forecast safe on 2026-01-13.
request_54,16581.4,not_affordable,not_recommended,none,,none,Current balance is 53581.40 ZAR; minimum balance to keep is 37000.00 ZAR. Maximum safe amount today is 16581.40 ZAR.
request_55,190041.19,affordable_later,not_recommended,none,2026-08-13,none,Current balance is 314341.19 INR; minimum balance to keep is 124300.00 INR. Maximum safe amount today is 190041.19 INR.
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-14,none,Current balance: 3432.36 USD. Required minimum: 2100.00 USD. Safe amount today: 881.56 USD. Recommended method: installments. Full payment is first forecast safe on 2025-02-14.
request_57,21214.6,affordable_later,wait,2026-06-13:61446.00,2026-06-13,none,Current balance: 63914.60 ZAR. Required minimum: 42700.00 ZAR. Safe amount today: 21214.60 ZAR. Recommended method: wait. Full payment is first forecast safe on 2026-06-13.
request_58,0.0,not_affordable,not_recommended,none,,none,Current balance is 42146065.00 IDR; minimum balance to keep is 14433900.00 IDR. Maximum safe amount today is 0.00 IDR.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Current balance: 723245.99 INR. Required minimum: 132600.00 INR. Safe amount today: 140600.00 INR. Recommended method: installments. Full payment is first forecast safe on 2025-05-04.
request_60,199.89,affordable_later,wait,2026-01-14:199.89,2026-01-14,none,Current balance: 683.69 USD. Required minimum: 400.00 USD. Safe amount today: 199.89 USD. Recommended method: wait. Full payment is first forecast safe on 2026-01-14.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Current balance: 147470.23 ZAR. Required minimum: 36700.00 ZAR. Safe amount today: 29062.00 ZAR. Recommended method: installments. Full payment is first forecast safe on 2024-03-03.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Current balance: 5151.44 USD. Required minimum: 1300.00 USD. Safe amount today: 404.23 USD. Recommended method: full_payment. Full payment is first forecast safe on 2025-08-05.
request_63,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_64,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_65,13024.0,not_affordable,not_recommended,none,,none,Current balance is 28524.00 ZAR; minimum balance to keep is 15500.00 ZAR. Maximum safe amount today is 13024.00 ZAR.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.00,2026-04-03,none,Current balance: 302520.00 INR. Required minimum: 80700.00 INR. Safe amount today: 22200.00 INR. Recommended method: full_payment. Full payment is first forecast safe on 2026-04-03.
request_67,792.54,affordable_later,wait,2024-09-14:2094.00,2024-09-14,none,Current balance: 1992.54 USD. Required minimum: 1200.00 USD. Safe amount today: 792.54 USD. Recommended method: wait. Full payment is first forecast safe on 2024-09-14.
request_68,2091.6,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-24,none,Current balance: 3657.83 USD. Required minimum: 1500.00 USD. Safe amount today: 2091.60 USD. Recommended method: installments. Full payment is first forecast safe on 2025-03-24.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Current balance: 1639.50 EUR. Required minimum: 700.00 EUR. Safe amount today: 529.10 EUR. Recommended method: full_payment. Full payment is first forecast safe on 2026-01-04.
request_70,93360.0,not_affordable,not_recommended,none,,none,Current balance is 208360.00 INR; minimum balance to keep is 115000.00 INR. Maximum safe amount today is 93360.00 INR.
request_71,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_72,0.0,not_affordable,not_recommended,none,,none,Current balance is 30337.13 ZAR; minimum balance to keep is 12200.00 ZAR. Maximum safe amount today is 0.00 ZAR.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400.00,2023-01-20,none,Current balance: 278542.50 INR. Required minimum: 103200.00 INR. Safe amount today: 71400.00 INR. Recommended method: full_payment. Full payment is first forecast safe on 2023-01-20.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.00,2025-08-04,none,Current balance: 70056.90 ZAR. Required minimum: 21900.00 ZAR. Safe amount today: 5010.00 ZAR. Recommended method: full_payment. Full payment is first forecast safe on 2025-08-04.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Current balance: 145867.87 ZAR. Required minimum: 39000.00 ZAR. Safe amount today: 28270.00 ZAR. Recommended method: installments. Full payment is first forecast safe on 2026-04-06.
request_76,0.0,not_affordable,not_recommended,none,,none,Current balance is 3338.80 USD; minimum balance to keep is 1800.00 USD. Maximum safe amount today is 0.00 USD.
request_77,60700.0,affordable_later,wait,2025-11-14:60700.00,2025-11-14,none,Current balance: 189860.50 INR. Required minimum: 82200.00 INR. Safe amount today: 60700.00 INR. Recommended method: wait. Full payment is first forecast safe on 2025-11-14.
request_78,50200.0,not_affordable,not_recommended,none,,none,Current balance is 156676.00 INR; minimum balance to keep is 55200.00 INR. Maximum safe amount today is 50200.00 INR.
request_79,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_80,0.0,not_affordable,not_recommended,none,,none,Current balance is 280125.00 INR; minimum balance to keep is 121300.00 INR. Maximum safe amount today is 0.00 INR.
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076.00,2026-07-03,none,Current balance: 5028.25 USD. Required minimum: 1600.00 USD. Safe amount today: 2076.00 USD. Recommended method: full_payment. Full payment is first forecast safe on 2026-07-03.
request_82,1102.4,not_affordable,not_recommended,none,,none,Current balance is 2202.40 USD; minimum balance to keep is 1100.00 USD. Maximum safe amount today is 1102.40 USD.
request_83,0.0,not_affordable,not_recommended,none,,none,Current balance is 68930.00 INR; minimum balance to keep is 37800.00 INR. Maximum safe amount today is 0.00 INR.
request_84,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_85,2422120.0,not_affordable,not_recommended,none,,none,Current balance is 8818420.00 IDR; minimum balance to keep is 6396300.00 IDR. Maximum safe amount today is 2422120.00 IDR.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.00,2025-08-03,none,Current balance: 228639.50 INR. Required minimum: 84900.00 INR. Safe amount today: 46300.00 INR. Recommended method: full_payment. Full payment is first forecast safe on 2025-08-03.
request_87,0.0,not_affordable,not_recommended,none,,none,Current balance is 278750.00 INR; minimum balance to keep is 185900.00 INR. Maximum safe amount today is 0.00 INR.
request_88,15557.89,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-14,none,Current balance: 41357.89 ZAR. Required minimum: 25800.00 ZAR. Safe amount today: 15557.89 ZAR. Recommended method: installments. Full payment is first forecast safe on 2024-06-14.
request_89,13756000.0,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-14,none,Current balance: 27331862.01 IDR. Required minimum: 12534700.00 IDR. Safe amount today: 13756000.00 IDR. Recommended method: installments. Full payment is first forecast safe on 2025-11-14.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.00,2026-07-06,none,Current balance: 31629.50 ZAR. Required minimum: 7600.00 ZAR. Safe amount today: 2560.00 ZAR. Recommended method: full_payment. Full payment is first forecast safe on 2026-07-06.
request_91,1927.2,not_affordable,not_recommended,none,,none,Current balance is 4209.60 EUR; minimum balance to keep is 2100.00 EUR. Maximum safe amount today is 1927.20 EUR.
request_92,29493.59,not_affordable,not_recommended,none,,none,Current balance is 78664.47 ZAR; minimum balance to keep is 28100.00 ZAR. Maximum safe amount today is 29493.59 ZAR.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Current balance: 3962.10 USD. Required minimum: 1900.00 USD. Safe amount today: 1729.20 USD. Recommended method: full_payment. Full payment is first forecast safe on 2026-04-07.
request_94,572.0,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,Current balance: 2663.60 EUR. Required minimum: 600.00 EUR. Safe amount today: 572.00 EUR. Recommended method: full_payment. Full payment is first forecast safe on 2024-12-04.
request_95,137865.0,not_affordable,not_recommended,none,,none,Current balance is 283365.00 INR; minimum balance to keep is 145500.00 INR. Maximum safe amount today is 137865.00 INR.
request_96,90200.0,not_affordable,not_recommended,none,,none,Current balance is 161635.49 INR; minimum balance to keep is 56500.00 INR. Maximum safe amount today is 90200.00 INR.
request_97,8865.89,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Current balance: 38565.89 ZAR. Required minimum: 29700.00 ZAR. Safe amount today: 8865.89 ZAR. Recommended method: installments. Full payment is first forecast safe on 2024-03-15.
request_98,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_99,18062.0,not_affordable,not_recommended,none,,none,Current balance is 86706.58 ZAR; minimum balance to keep is 49100.00 ZAR. Maximum safe amount today is 18062.00 ZAR.
request_100,35863.53,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Current balance: 68363.53 ZAR. Required minimum: 32500.00 ZAR. Safe amount today: 35863.53 ZAR. Recommended method: installments. Full payment is first forecast safe on 2024-06-15.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,none,Current balance: 465868.50 INR. Required minimum: 187400.00 INR. Safe amount today: 143500.00 INR. Recommended method: full_payment. Full payment is first forecast safe on 2025-11-03.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Current balance: 4643.74 EUR. Required minimum: 900.00 EUR. Safe amount today: 1716.00 EUR. Recommended method: installments. Full payment is first forecast safe on 2026-04-05.
request_103,43249.0,not_affordable,not_recommended,none,,none,Current balance is 168749.00 INR; minimum balance to keep is 125500.00 INR. Maximum safe amount today is 43249.00 INR.
request_104,0.0,not_affordable,not_recommended,none,,none,Current balance is 64021.70 ZAR; minimum balance to keep is 24700.00 ZAR. Maximum safe amount today is 0.00 ZAR.
request_105,53500.0,affordable_later,wait,2026-06-14:53500.00,2026-06-14,none,Current balance: 147831.80 INR. Required minimum: 73900.00 INR. Safe amount today: 53500.00 INR. Recommended method: wait. Full payment is first forecast safe on 2026-06-14.
request_106,1401.7,not_affordable,not_recommended,none,,none,Current balance is 2601.70 EUR; minimum balance to keep is 1200.00 EUR. Maximum safe amount today is 1401.70 EUR.
request_107,983.72,not_affordable,not_recommended,none,,none,Current balance is 5054.52 EUR; minimum balance to keep is 1600.00 EUR. Maximum safe amount today is 983.72 EUR.
request_108,0.0,not_affordable,not_recommended,none,,none,Current balance is 31936.40 ZAR; minimum balance to keep is 24100.00 ZAR. Maximum safe amount today is 0.00 ZAR.
request_109,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Current balance: 61229.53 ZAR. Required minimum: 11200.00 ZAR. Safe amount today: 22352.00 ZAR. Recommended method: installments. Full payment is first forecast safe on 2025-08-06.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,none,Current balance: 85204860.00 IDR. Required minimum: 23022800.00 IDR. Safe amount today: 16625000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2026-04-03.
request_112,0.0,not_affordable,not_recommended,none,,none,Current balance is 1026.00 EUR; minimum balance to keep is 500.00 EUR. Maximum safe amount today is 0.00 EUR.
request_113,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_114,65300.0,not_affordable,not_recommended,none,,none,Current balance is 219230.00 INR; minimum balance to keep is 113400.00 INR. Maximum safe amount today is 65300.00 INR.
request_115,27135.0,affordable_later,wait,2024-11-13:80500.00,2024-11-13,none,Current balance: 65935.00 INR. Required minimum: 38800.00 INR. Safe amount today: 27135.00 INR. Recommended method: wait. Full payment is first forecast safe on 2024-11-13.
request_116,58075.0,not_affordable,not_recommended,none,,none,Current balance is 138375.00 INR; minimum balance to keep is 80300.00 INR. Maximum safe amount today is 58075.00 INR.
request_117,880.0,not_affordable,not_recommended,none,,none,Current balance is 2164.20 EUR; minimum balance to keep is 1000.00 EUR. Maximum safe amount today is 880.00 EUR.
request_118,738.1,not_affordable,not_recommended,none,,none,Current balance is 1538.51 EUR; minimum balance to keep is 600.00 EUR. Maximum safe amount today is 738.10 EUR.
request_119,0.0,not_affordable,not_recommended,none,,none,Current balance is 282101.01 INR; minimum balance to keep is 151200.00 INR. Maximum safe amount today is 0.00 INR.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,Current balance: 31748980.00 IDR. Required minimum: 20050300.00 IDR. Safe amount today: 7714000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2026-04-06.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Current balance: 1741.00 USD. Required minimum: 800.00 USD. Safe amount today: 633.60 USD. Recommended method: full_payment. Full payment is first forecast safe on 2024-03-03.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Current balance: 56827244.99 IDR. Required minimum: 12588500.00 IDR. Safe amount today: 20558000.00 IDR. Recommended method: installments. Full payment is first forecast safe on 2025-08-05.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.00,2026-01-07,none,Current balance: 63706400.00 IDR. Required minimum: 18091200.00 IDR. Safe amount today: 4076000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2026-01-07.
request_124,2109.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-14,none,Current balance: 3709.56 EUR. Required minimum: 1600.00 EUR. Safe amount today: 2109.56 EUR. Recommended method: installments. Full payment is first forecast safe on 2024-06-14.
request_125,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600.00,2026-07-03,none,Current balance: 403175.00 INR. Required minimum: 129700.00 INR. Safe amount today: 159600.00 INR. Recommended method: full_payment. Full payment is first forecast safe on 2026-07-03.
request_127,0.0,not_affordable,not_recommended,none,,none,Current balance is 66058.00 ZAR; minimum balance to keep is 41000.00 ZAR. Maximum safe amount today is 0.00 ZAR.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,Current balance: 80711.70 ZAR. Required minimum: 42600.00 ZAR. Safe amount today: 25168.00 ZAR. Recommended method: full_payment. Full payment is first forecast safe on 2025-02-07.
request_129,288.0,not_affordable,not_recommended,none,,none,Current balance is 1088.00 USD; minimum balance to keep is 800.00 USD. Maximum safe amount today is 288.00 USD.
request_130,917.46,not_affordable,not_recommended,none,,none,Current balance is 2317.46 USD; minimum balance to keep is 1400.00 USD. Maximum safe amount today is 917.46 USD.
request_131,1855.2,not_affordable,not_recommended,none,,none,Current balance is 3387.16 USD; minimum balance to keep is 1100.00 USD. Maximum safe amount today is 1855.20 USD.
request_132,379.86,affordable_later,wait,2026-01-14:379.86,2026-01-14,none,Current balance: 1744.55 USD. Required minimum: 1100.00 USD. Safe amount today: 379.86 USD. Recommended method: wait. Full payment is first forecast safe on 2026-01-14.
request_133,15770000.0,affordable_later,not_recommended,none,2024-03-07,none,Current balance is 36824650.00 IDR; minimum balance to keep is 9986200.00 IDR. Maximum safe amount today is 15770000.00 IDR.
request_134,12118200.0,affordable_later,wait,2025-08-14:21831000.00,2025-08-14,none,Current balance: 28020700.00 IDR. Required minimum: 15902500.00 IDR. Safe amount today: 12118200.00 IDR. Recommended method: wait. Full payment is first forecast safe on 2025-08-14.
request_135,304.8,not_affordable,not_recommended,none,,none,Current balance is 1041.10 USD; minimum balance to keep is 500.00 USD. Maximum safe amount today is 304.80 USD.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Current balance: 2291.68 USD. Required minimum: 1100.00 USD. Safe amount today: 560.40 USD. Recommended method: full_payment. Full payment is first forecast safe on 2024-06-03.
request_137,67960.0,not_affordable,not_recommended,none,,none,Current balance is 139760.00 INR; minimum balance to keep is 71800.00 INR. Maximum safe amount today is 67960.00 INR.
request_138,1256.94,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-14,none,Current balance: 3644.65 EUR. Required minimum: 2300.00 EUR. Safe amount today: 1256.94 EUR. Recommended method: installments. Full payment is first forecast safe on 2026-04-14.
request_139,2267.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-14,none,Current balance: 3767.84 USD. Required minimum: 1500.00 USD. Safe amount today: 2267.84 USD. Recommended method: installments. Full payment is first forecast safe on 2024-09-14.
request_140,0.0,not_affordable,not_recommended,none,,none,Current balance is 34679.00 ZAR; minimum balance to keep is 21600.00 ZAR. Maximum safe amount today is 0.00 ZAR.
request_141,55245.0,not_affordable,not_recommended,none,,none,Current balance is 122545.00 INR; minimum balance to keep is 67300.00 INR. Maximum safe amount today is 55245.00 INR.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Current balance: 5993.85 USD. Required minimum: 1700.00 USD. Safe amount today: 1263.60 USD. Recommended method: full_payment. Full payment is first forecast safe on 2024-12-05.
request_143,8811.0,not_affordable,not_recommended,none,,none,Current balance is 20111.00 ZAR; minimum balance to keep is 11300.00 ZAR. Maximum safe amount today is 8811.00 ZAR.
request_144,0.0,not_affordable,not_recommended,none,,none,Current balance is 1248.08 USD; minimum balance to keep is 600.00 USD. Maximum safe amount today is 0.00 USD.
request_145,105613.66,affordable_later,not_recommended,none,2024-05-23,none,Current balance is 261013.66 INR; minimum balance to keep is 155400.00 INR. Maximum safe amount today is 105613.66 INR.
request_146,81465.0,affordable_later,wait,2025-10-13:449400.00,2025-10-13,none,Current balance: 190065.00 INR. Required minimum: 108600.00 INR. Safe amount today: 81465.00 INR. Recommended method: wait. Full payment is first forecast safe on 2025-10-13.
request_147,0.0,not_affordable,not_recommended,none,,none,Current balance is 1641.53 EUR; minimum balance to keep is 900.00 EUR. Maximum safe amount today is 0.00 EUR.
request_148,13181.08,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-14,none,Current balance: 33181.08 ZAR. Required minimum: 20000.00 ZAR. Safe amount today: 13181.08 ZAR. Recommended method: installments. Full payment is first forecast safe on 2024-07-14.
request_149,36652.0,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-14,none,Current balance: 84358.38 ZAR. Required minimum: 42100.00 ZAR. Safe amount today: 36652.00 ZAR. Recommended method: installments. Full payment is first forecast safe on 2025-11-14.
request_150,496.1,affordable_later,not_recommended,none,2026-03-15,none,Current balance is 1257.44 EUR; minimum balance to keep is 700.00 EUR. Maximum safe amount today is 496.10 EUR.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.00,2024-09-03,none,Current balance: 83998265.00 IDR. Required minimum: 31633600.00 IDR. Safe amount today: 26999000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2024-09-03.
request_152,13882.0,not_affordable,not_recommended,none,,none,Current balance is 28368.77 ZAR; minimum balance to keep is 11900.00 ZAR. Maximum safe amount today is 13882.00 ZAR.
request_153,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_154,1625.8,not_affordable,not_recommended,none,,none,Current balance is 4679.40 EUR; minimum balance to keep is 1300.00 EUR. Maximum safe amount today is 1625.80 EUR.
request_155,112500.0,not_affordable,not_recommended,none,,none,Current balance is 218050.00 INR; minimum balance to keep is 56300.00 INR. Maximum safe amount today is 112500.00 INR.
request_156,15205.3,affordable_later,wait,2026-05-14:43076.00,2026-05-14,none,Current balance: 42105.30 ZAR. Required minimum: 26900.00 ZAR. Safe amount today: 15205.30 ZAR. Recommended method: wait. Full payment is first forecast safe on 2026-05-14.
request_157,10091850.0,not_affordable,not_recommended,none,,none,Current balance is 25805950.00 IDR; minimum balance to keep is 15714100.00 IDR. Maximum safe amount today is 10091850.00 IDR.
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Current balance: 745417.10 INR. Required minimum: 131400.00 INR. Safe amount today: 242600.00 INR. Recommended method: installments. Full payment is first forecast safe on 2025-08-07.
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.00,2026-01-04,none,Current balance: 40283.20 ZAR. Required minimum: 8700.00 ZAR. Safe amount today: 13398.00 ZAR. Recommended method: full_payment. Full payment is first forecast safe on 2026-01-04.
request_160,944.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-14,none,Current balance: 2144.61 EUR. Required minimum: 1200.00 EUR. Safe amount today: 944.61 EUR. Recommended method: installments. Full payment is first forecast safe on 2024-06-14.
request_161,0.0,not_affordable,not_recommended,none,,none,Current balance is 41308350.00 IDR; minimum balance to keep is 23010400.00 IDR. Maximum safe amount today is 0.00 IDR.
request_162,10446200.0,not_affordable,not_recommended,none,,none,Current balance is 34607300.00 IDR; minimum balance to keep is 24161100.00 IDR. Maximum safe amount today is 10446200.00 IDR.
request_163,19304000.0,not_affordable,not_recommended,none,,none,Current balance is 49519524.26 IDR; minimum balance to keep is 26728700.00 IDR. Maximum safe amount today is 19304000.00 IDR.
request_164,21973642.69,not_affordable,not_recommended,none,,none,Current balance is 75429169.20 IDR; minimum balance to keep is 29550500.00 IDR. Maximum safe amount today is 21973642.69 IDR.
